"Variable","Year","value","ymin","ymax","Directory","Model"
"SSB",2025,490.867,397.231,606.574,"m25","2025 baseline"
"Depletion",2025,0.172463,0.15613,0.190503,"m25","2025 baseline"
"B_Bmsy",2025,0.521226,NA,NA,"m25","2025 baseline"
"Catch",2025,140.001,NA,NA,"m25","2025 baseline"
"RY",2025,104.865,NA,NA,"m25","2025 baseline"
"Catch_RY",2025,1.33506,NA,NA,"m25","2025 baseline"
"SSB",2026,466.951,373.982,583.032,"m26","2026 update"
"Depletion",2026,0.164565,0.147481,0.183629,"m26","2026 update"
"B_Bmsy",2026,0.497255,NA,NA,"m26","2026 update"
"Catch",2026,133.001,NA,NA,"m26","2026 update"
"RY",2026,98.7662,NA,NA,"m26","2026 update"
"Catch_RY",2026,1.34662,NA,NA,"m26","2026 update"
"SSB",2026,690.737,584.666,816.053,"m26_survey_q_1","Survey q = 1.0"
"Depletion",2026,0.24475,0.231933,0.258275,"m26_survey_q_1","Survey q = 1.0"
"B_Bmsy",2026,0.742585,NA,NA,"m26_survey_q_1","Survey q = 1.0"
"Catch",2026,133.001,NA,NA,"m26_survey_q_1","Survey q = 1.0"
"RY",2026,98.4895,NA,NA,"m26_survey_q_1","Survey q = 1.0"
"Catch_RY",2026,1.35041,NA,NA,"m26_survey_q_1","Survey q = 1.0"
"SSB",2026,1567.35,1356.38,1811.14,"m26_survey_q_0_5","Survey q = 0.5"
"Depletion",2026,0.538543,0.527765,0.549542,"m26_survey_q_0_5","Survey q = 0.5"
"B_Bmsy",2026,1.64508,NA,NA,"m26_survey_q_0_5","Survey q = 0.5"
"Catch",2026,133.001,NA,NA,"m26_survey_q_0_5","Survey q = 0.5"
"RY",2026,53.4456,NA,NA,"m26_survey_q_0_5","Survey q = 0.5"
"Catch_RY",2026,2.48853,NA,NA,"m26_survey_q_0_5","Survey q = 0.5"
"SSB",2026,500.567,388.206,645.449,"m26_estimated_natural_mortality","Estimated natural mortality"
"Depletion",2026,0.175526,0.152504,0.202023,"m26_estimated_natural_mortality","Estimated natural mortality"
"B_Bmsy",2026,0.532849,NA,NA,"m26_estimated_natural_mortality","Estimated natural mortality"
"Catch",2026,133.001,NA,NA,"m26_estimated_natural_mortality","Estimated natural mortality"
"RY",2026,97.3133,NA,NA,"m26_estimated_natural_mortality","Estimated natural mortality"
"Catch_RY",2026,1.36673,NA,NA,"m26_estimated_natural_mortality","Estimated natural mortality"
"SSB",2026,491.095,393.77,612.474,"m26_steepness_0_9","Steepness = 0.9"
"Depletion",2026,0.187834,0.166025,0.212509,"m26_steepness_0_9","Steepness = 0.9"
"B_Bmsy",2026,0.673683,NA,NA,"m26_steepness_0_9","Steepness = 0.9"
"Catch",2026,133.001,NA,NA,"m26_steepness_0_9","Steepness = 0.9"
"RY",2026,111.667,NA,NA,"m26_steepness_0_9","Steepness = 0.9"
"Catch_RY",2026,1.19105,NA,NA,"m26_steepness_0_9","Steepness = 0.9"
